name,value,year,lastValue,rank
Coca-Cola,79918,2013.3,79683,
Coca-Cola,79683,2013.2,79448,
Coca-Cola,79679,2014.6,79993,
Coca-Cola,79448,2013.1,79213,
Coca-Cola,79365,2014.7,79679,
Microsoft,79278.6,2016.9,78558.2,
Coca-Cola,79213,2013,79075.6,
Amazon,79183.2,2017.4,75586.4,
Google,79152,2012.4,76795.5,
Coca-Cola,79075.6,2012.9,78938.2,
Coca-Cola,79051,2014.8,79365,
Coca-Cola,78938.2,2012.8,78800.8,
IBM,78808,2013,78480.4,
Coca-Cola,78800.8,2012.7,78663.4,
Apple,78742.8,2012.1,76568,
Coca-Cola,78737,2014.9,79051,
Coca-Cola,78663.4,2012.6,78526,
Microsoft,78558.2,2016.8,77837.8,
Coca-Cola,78526,2012.5,78388.6,
IBM,78480.4,2012.9,78152.8,
Coca-Cola,78423,2015,78737,
Coca-Cola,78388.6,2012.4,78251.2,
Coca-Cola,78251.2,2012.3,78113.8,
IBM,78152.8,2012.8,77825.2,
IBM,78151.6,2013.1,78808,
Coca-Cola,78113.8,2012.2,77976.4,
Coca-Cola,77976.4,2012.1,77839,
Coca-Cola,77890.9,2015.1,78423,
Coca-Cola,77839,2012,77241.2,
Microsoft,77837.8,2016.7,77117.4,
IBM,77825.2,2012.7,77497.6,
IBM,77497.6,2012.6,77170,
IBM,77495.2,2013.2,78151.6,
Coca-Cola,77358.8,2015.2,77890.9,
Coca-Cola,77241.2,2011.9,76643.4,
IBM,77170,2012.5,76842.4,
Microsoft,77117.4,2016.6,76397,
IBM,76842.4,2012.4,76514.8,
IBM,76838.8,2013.3,77495.2,
Coca-Cola,76826.7,2015.3,77358.8,
Google,76795.5,2012.3,74439,
Coca-Cola,76643.4,2011.8,76045.6,
Apple,76568,2012,72260.4,
IBM,76514.8,2012.3,76187.2,
Microsoft,76397,2016.5,75676.6,
Coca-Cola,76294.6,2015.4,76826.7,
IBM,76187.2,2012.2,75859.6,
IBM,76182.4,2013.4,76838.8,
Coca-Cola,76045.6,2011.7,75447.8,
IBM,75859.6,2012.1,75532,
Coca-Cola,75762.5,2015.5,76294.6,
Microsoft,75676.6,2016.4,74956.2,
Amazon,75586.4,2017.3,71989.6,
IBM,75532,2012,74969.3,
IBM,75526,2013.5,76182.4,
Coca-Cola,75447.8,2011.6,74850,
Coca-Cola,75230.4,2015.6,75762.5,
IBM,74969.3,2011.9,74406.6,
Microsoft,74956.2,2016.3,74235.8,
IBM,74869.6,2013.6,75526,
Coca-Cola,74850,2011.5,74252.2,
Coca-Cola,74698.3,2015.7,75230.4,
Google,74439,2012.2,72082.5,
IBM,74406.6,2011.8,73843.9,
Coca-Cola,74252.2,2011.4,73654.4,
Microsoft,74235.8,2016.2,73515.4,
IBM,74213.2,2013.7,74869.6,
Coca-Cola,74166.2,2015.8,74698.3,
IBM,73843.9,2011.7,73281.2,
Coca-Cola,73654.4,2011.3,73056.6,
Coca-Cola,73634.1,2015.9,74166.2,
IBM,73556.8,2013.8,74213.2,
Microsoft,73515.4,2016.1,72795,
IBM,73281.2,2011.6,72718.5,
Coca-Cola,73102,2016,73634.1,
Coca-Cola,73056.6,2011.2,72458.8,
IBM,72900.4,2013.9,73556.8,
